,state,brew,year,state_id
0,AK,20.0,0,0
1,AK,23.0,1,0
2,AK,25.0,2,0
3,AK,25.0,3,0
4,AK,28.0,4,0
5,AK,35.0,5,0
6,AK,36.0,6,0
7,AK,40.0,7,0
8,AK,41.0,8,0
9,AL,7.0,0,1
10,AL,9.0,1,1
11,AL,15.0,2,1
12,AL,23.0,3,1
13,AL,25.0,4,1
14,AL,30.0,5,1
15,AL,37.0,6,1
16,AL,37.0,7,1
17,AL,45.0,8,1
18,AR,5.0,0,2
19,AR,7.0,1,2
20,AR,13.0,2,2
21,AR,18.0,3,2
22,AR,23.0,4,2
23,AR,29.0,5,2
24,AR,34.0,6,2
25,AR,36.0,7,2
26,AR,40.0,8,2
27,AZ,37.0,0,3
28,AZ,45.0,1,3
29,AZ,55.0,2,3
30,AZ,59.0,3,3
31,AZ,77.0,4,3
32,AZ,91.0,5,3
33,AZ,110.0,6,3
34,AZ,120.0,7,3
35,AZ,125.0,8,3
36,CA,358.0,0,4
37,CA,401.0,1,4
38,CA,472.0,2,4
39,CA,528.0,3,4
40,CA,654.0,4,4
41,CA,788.0,5,4
42,CA,927.0,6,4
43,CA,981.0,7,4
44,CA,1049.0,8,4
45,CO,129.0,0,5
46,CO,149.0,1,5
47,CO,185.0,2,5
48,CO,234.0,3,5
49,CO,300.0,4,5
50,CO,352.0,5,5
51,CO,386.0,6,5
52,CO,408.0,7,5
53,CO,428.0,8,5
54,CT,21.0,0,6
55,CT,20.0,1,6
56,CT,24.0,2,6
57,CT,39.0,3,6
58,CT,50.0,4,6
59,CT,59.0,5,6
60,CT,76.0,6,6
61,CT,83.0,7,6
62,CT,93.0,8,6
63,DC,4.0,0,7
64,DC,6.0,1,7
65,DC,5.0,2,7
66,DC,11.0,3,7
67,DC,12.0,4,7
68,DC,13.0,5,7
69,DC,13.0,6,7
70,DC,13.0,7,7
71,DC,13.0,8,7
72,DE,11.0,0,8
73,DE,12.0,1,8
74,DE,13.0,2,8
75,DE,13.0,3,8
76,DE,15.0,4,8
